Producing: JOB Id = 60, Burst Time = 5, Remaining Time = 5, Priority = 9 (Jobs Produced = 61, Jobs in buffer = 2)
Producing: JOB Id = 61, Burst Time = 82, Remaining Time = 82, Priority = 7 (Jobs Produced = 62, Jobs in buffer = 3)
Producing: JOB Id = 62, Burst Time = 88, Remaining Time = 88, Priority = 1 (Jobs Produced = 63, Jobs in buffer = 4)
Producing: JOB Id = 63, Burst Time = 94, Remaining Time = 94, Priority = 5 (Jobs Produced = 64, Jobs in buffer = 5)
Producing: JOB Id = 64, Burst Time = 55, Remaining Time = 55, Priority = 7 (Jobs Produced = 65, Jobs in buffer = 6)
Producing: JOB Id = 65, Burst Time = 22, Remaining Time = 22, Priority = 6 (Jobs Produced = 66, Jobs in buffer = 7)
Producing: JOB Id = 66, Burst Time = 78, Remaining Time = 78, Priority = 3 (Jobs Produced = 67, Jobs in buffer = 8)
Producing: JOB Id = 67, Burst Time = 88, Remaining Time = 88, Priority = 5 (Jobs Produced = 68, Jobs in buffer = 9)
Producing: JOB Id = 68, Burst Time = 77, Remaining Time = 77, Priority = 3 (Jobs Produced = 69, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 62, Start time = 0, End time = 88, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 66, Start time = 88, End time = 113, Priority = 3, Remaining Time = 53
Thread 0 removes: JOB ID: 68, Start time = 113, End time = 138, Priority = 3, Remaining Time = 52
Thread 0 removes: JOB ID: 66, restart time = 138, End time = 163, Priority = 3, Remaining Time = 28
Thread 0 removes: JOB ID: 68, restart time = 163, End time = 188, Priority = 3, Remaining Time = 27
Thread 0 removes: JOB ID: 66, restart time = 188, End time = 213, Priority = 3, Remaining Time = 3
Thread 0 removes: JOB ID: 68, restart time = 213, End time = 238, Priority = 3, Remaining Time = 2
Thread 0 removes: JOB ID: 66, restart time = 238, End time = 241, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 68, restart time = 241, End time = 243, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 67, Start time = 243, End time = 268, Priority = 5, Remaining Time = 63
Thread 0 removes: JOB ID: 63, Start time = 268, End time = 293, Priority = 5, Remaining Time = 69
